,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
110,110,2,6,13,16,-0.8837077962061439,3,12,14,26,0.7481264879776408,3,8,10,13,0.7021562091685833,2,4,5,14,0.5147685749723304,6,11,12,13,-1.5757608893393495,5,6,14,30,0.8051634726497191,2,10,11,14,0.5718589161560026,4,5,10,13,0.5305813024210493,5,10,12,19,0.3407443523070415,5,10,19,21,-0.0987177674428156,1,3,7,10,0.9513865145057826
111,111,4,8,18,1,0.4046238362691252,10,14,21,5,0.6974701530263705,3,11,14,10,0.8118015186197778,2,11,22,28,-1.8341264056918904,2,10,12,14,0.582636639363511,10,12,16,26,0.3068293488424083,5,6,10,12,0.4468205232872307,5,11,12,25,0.1319429773196963,2,5,10,19,0.5574635345630221,5,6,7,10,0.8696698305393035,1,3,7,10,0.9512913637759061
112,112,21,23,11,24,-3.334549539966142,7,13,14,23,0.159814597789878,4,26,6,2,0.1070246257777187,6,11,20,26,0.3710246466170961,10,14,17,21,-0.0908466668761549,6,12,31,21,-0.6218434289141801,5,12,13,17,-0.599741883730311,4,12,13,14,-0.1641237503558021,1,4,5,10,0.8588020482978937,2,6,10,25,0.6400328199975471,1,3,7,10,0.9516433441586948
113,113,7,11,17,30,0.1959047838670226,2,12,20,22,-0.2922939446042767,2,6,22,10,0.0118055601265467,6,13,20,14,0.318063325080142,2,6,9,13,-0.8312745784050319,2,7,10,12,0.6188212612984316,5,11,12,13,-0.7216655309876729,2,6,10,11,0.1152364501513201,1,5,11,12,0.2203633223798654,2,6,10,12,0.1281655531181389,1,3,7,10,0.9513929067376397
114,114,12,14,16,15,-0.5032372758141068,2,4,21,23,-1.427265277831726,4,5,11,14,0.4929556407830532,6,11,13,19,-1.4579096051293248,6,7,11,13,-0.360669366347023,2,4,10,15,0.1791235195847008,2,10,11,13,-0.0719184005668849,2,6,9,10,0.1883273619738801,5,6,12,13,-0.447935931732323,2,4,11,12,-0.7605026909497643,1,3,7,10,0.9515300829016469
115,115,16,21,22,15,-2.8816144559870787,2,3,4,10,0.5999776652585935,2,12,13,14,-0.1569063597530342,5,27,31,30,0.557549914706569,6,10,13,17,-0.2486792858805409,2,5,13,19,-0.165431943586813,6,9,10,11,-0.1575654594872195,2,10,13,27,-0.1392427927483959,3,5,6,11,0.2951578464439568,5,10,12,14,0.8181682607972305,1,3,7,10,0.9514738259563003
116,116,2,5,6,13,-0.0755340798129533,2,3,5,10,0.8030905793782291,4,14,21,30,0.3124437395918467,10,12,13,21,-0.6312156510959077,1,5,10,14,0.9790527746412752,2,5,6,10,0.6363525527460725,2,5,6,11,-0.0648131589388598,14,19,21,22,-1.7197348087704485,4,5,12,13,-0.2505718521505296,2,5,10,11,0.5325016532212175,1,3,7,10,0.9516885656265424
117,117,14,31,4,24,0.386482702530606,20,22,23,25,-0.5124981739765087,1,2,5,9,0.5145009217745433,2,14,30,12,0.495585330305559,2,5,13,19,-0.1661367378191673,2,5,7,9,0.5144947640438607,6,10,18,21,-0.7340710629726275,2,5,10,6,0.6439560355169113,2,5,8,10,0.8306513903183573,6,19,22,25,-0.868134431404584,1,3,7,10,0.9515631194358868
118,118,5,19,31,16,0.0108055902228688,12,13,19,20,-0.585282646958885,12,11,10,5,0.3003049732495235,5,10,13,17,0.3363073927827735,5,6,13,15,-0.477594125039614,6,10,13,14,0.4576984671439852,6,11,19,25,-0.4190192634936902,5,6,14,26,0.82129955428469,6,9,10,13,-0.1683137934493628,5,6,10,11,0.4428968755016537,1,3,7,10,0.9516166294984547
119,119,2,11,13,19,-1.112424791621473,9,12,13,17,-1.5422070698918415,2,4,5,10,0.5720668299504486,22,28,18,14,-1.837039221724896,3,5,10,14,0.9673123874575272,5,6,10,11,0.4345696726687424,5,6,10,11,0.4345696726687424,2,4,6,9,-0.5026716162949894,4,5,6,7,0.5729382418307021,2,10,14,19,0.5847670485277547,1,3,7,10,0.9518493191336943
120,120,2,6,9,13,-0.8156760157871645,4,9,11,14,-0.047033968670658,2,10,11,19,0.0175158986369452,10,15,27,4,-0.1299033233347528,4,6,10,13,0.1252447449899352,11,13,19,30,-0.6521180117973813,2,6,10,21,-0.0360650502589239,5,6,11,12,-0.4357570414500382,6,10,13,14,0.4573373496127098,5,12,13,19,-0.5792569299667545,1,3,7,10,0.951632460990753
121,121,6,18,31,28,-1.0367832188047117,2,6,7,24,-0.014764943833136,3,10,11,13,0.2743004200102044,2,4,14,27,-0.0127664404934286,2,4,5,13,-0.0452568003572564,5,6,28,4,-0.271256591559406,2,5,20,21,0.2800646846841063,5,11,12,21,-0.7939270268439411,6,10,11,13,-0.3097991131046278,4,5,10,11,0.5386835653176144,1,3,7,10,0.9515794046378441
122,122,5,6,19,26,0.2365164480501581,17,21,22,26,-1.938125120151096,4,5,10,27,0.4544765626410332,5,11,12,13,-0.7218085988744101,5,10,13,19,0.32581724530381,5,6,11,10,0.4357604019186496,5,10,11,22,0.2323704178759085,5,6,10,11,0.4357604019186496,5,6,19,21,-0.8938482960503173,5,12,14,22,0.1909545327476217,1,3,7,10,0.9517325186513184
123,123,4,5,16,18,-0.3208610366288771,6,10,19,27,-0.7021848713625558,2,12,13,26,-0.2343792221771912,12,27,29,19,-2.834237866008916,5,10,14,15,0.8071324456189688,2,8,12,14,0.4072660754261469,2,10,12,21,-0.1445521032496679,2,4,5,6,0.1282443346645208,5,10,12,13,0.290750513881601,5,19,26,12,0.1559692491115191,1,3,7,10,0.9515733132691434
124,124,11,14,17,25,0.2563289602166926,4,12,14,2,0.0795027566955974,2,12,26,31,0.4800915918657165,12,22,15,3,-0.7179333526351908,5,10,14,19,0.8061253851862125,2,4,6,10,0.3029947136083286,5,10,11,19,0.3326630951018925,2,4,6,11,-0.5666470769592447,4,5,10,11,0.5393462659313758,4,6,11,13,-0.959602180061061,1,3,7,10,0.951726767366572
125,125,5,11,14,27,0.148372973662937,3,6,9,13,-0.3214288693678002,4,13,19,22,-1.413405866569705,11,13,19,25,-0.6334223101361167,2,4,5,29,-0.0783947045996316,6,13,14,19,-0.3478936558715928,6,19,20,26,0.2946300813623383,4,5,6,11,-0.0518624436028527,6,11,12,14,-0.3686900513523516,2,5,6,19,-0.0336090870108616,1,3,7,10,0.9513143932127756
126,126,1,3,13,17,0.2654774483920464,8,10,12,19,0.1614363579554567,5,9,20,21,0.0932946468818902,6,22,26,5,0.1246098436205292,5,10,11,14,0.808632356254916,5,6,7,12,0.38239443994257,2,5,9,10,0.5761469814753983,5,6,13,18,-0.4103971613990074,4,5,10,12,0.5500990375735235,2,5,6,10,0.6369148053107149,1,3,7,10,0.9516147605102455
127,127,16,18,19,28,-3.4783189577482148,8,12,18,19,-1.0044073278778658,6,8,10,12,0.3216779320878336,4,6,10,19,0.152801783660413,5,6,14,30,0.8155244686775949,5,6,12,19,-0.3712895390457191,5,6,10,12,0.4561213905387735,13,14,24,27,-1.0454253166685596,2,5,11,19,-0.1509444275069271,6,7,14,19,0.4426622714122067,1,3,7,10,0.9510735003291192
128,128,16,28,29,23,-4.462936879333739,14,20,21,28,-0.6824055736960464,14,22,29,30,-0.394496363165274,4,5,12,14,0.4946140613019788,2,4,5,13,-0.043344366104419,5,10,11,12,0.292658936423009,6,10,13,17,-0.2618512169652685,4,6,11,13,-0.9590438970508384,5,6,11,13,-0.4802830059820735,14,19,22,31,-0.2004221796203213,1,3,7,10,0.9517013050782096
129,129,3,4,13,19,-0.1424750526340945,4,5,10,11,0.5484243396075708,5,6,13,14,0.3879108376294358,21,24,25,13,-1.2388736971012215,4,6,7,11,0.071265532273814,4,10,12,14,0.595485559312442,6,10,11,13,-0.2999059640167512,4,6,12,19,-0.8240788281107863,10,11,13,26,0.290990050101382,2,5,14,26,0.7904697125697338,1,3,7,10,0.9516960569115716
