,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,top-a0,top-a1,top-a2,top-a3,top-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r
73,73,73,7,14,5,16,0.6855449045438402,3,8,11,16,0.6113198978719124,7,11,15,6,0.7122718062445852,3,6,10,11,0.9817715042401702,3,6,7,11,0.9738759350471176,3,4,6,13,0.8099859019634816,3,6,7,14,0.9479784306763833,3,6,7,11,0.9738759350471176,3,6,10,11,0.9817715042401702,6,10,11,3,0.9817715042401702,11,13,3,1,0.6555328194686629
74,74,74,3,8,10,11,0.7301118860309714,6,11,13,14,0.9732382404582774,11,15,16,2,-0.2970572668795466,3,6,10,11,0.980031581004594,11,5,2,10,0.3240887967819531,3,7,10,13,0.8708554836245481,6,11,13,16,0.9719671489840009,9,11,16,13,0.5712528321497756,6,7,11,16,0.975553558551963,3,6,7,11,0.9721800074424031,3,7,10,14,0.9771068896655174
75,75,75,3,6,9,16,0.5169698052942644,3,5,8,10,0.3050439862196723,3,6,7,14,0.9479539513837788,3,6,10,11,0.9817142537039044,3,5,9,14,0.08552675907007656,6,11,10,7,0.9216164569383818,3,6,10,16,0.9460176073915533,4,10,3,1,0.25134704366559824,11,6,13,10,0.8891760149641879,3,6,7,10,0.9734980681429153,6,10,11,14,0.9823718137542508
76,76,76,7,8,14,6,0.61889578019682,10,13,14,3,0.9735615701186394,6,13,16,14,0.8713090649332669,3,6,10,11,0.9798233536608544,3,6,10,11,0.9798233536608544,6,11,13,7,0.8710191382880804,3,6,13,14,0.9640978238296554,3,6,10,11,0.9798233536608544,6,7,10,13,0.8703028510750814,3,11,13,14,0.9739153772239715,3,6,7,11,0.971943999202397
77,77,77,3,6,12,14,0.5880903674243281,2,6,7,10,0.7406364316244609,6,9,16,11,0.6045165657688429,3,6,10,11,0.9799099131856892,3,4,7,10,0.8008520136664082,7,10,13,11,0.7458294619168784,3,6,10,11,0.9799099131856893,3,10,16,6,0.9495054550135875,3,10,14,16,0.8465812122621857,3,6,10,11,0.9799099131856893,3,6,7,13,0.9481673661293412
78,78,78,5,7,8,10,0.2504712207365064,3,6,12,1,-0.1611373000638778,7,10,11,13,0.7454655120872897,3,6,10,11,0.9797437020448808,3,6,11,13,0.9565244258726667,6,10,11,14,0.9844617649418307,3,10,13,11,0.8863980120939026,7,10,11,14,0.9547336709800703,3,5,7,11,0.8462197300010005,6,10,11,14,0.9844617649418307,5,6,10,11,0.8680880076259543
79,79,79,6,11,15,10,0.7292194278321671,6,10,16,2,0.6573826818005611,5,7,16,6,0.8113781665964652,3,6,10,11,0.981803204679428,6,7,10,11,0.9215927812300482,3,5,6,13,0.8557335839245822,3,7,11,12,0.7249557188237066,14,16,3,6,0.7219210068374455,6,7,16,10,0.9730755250412308,6,7,10,11,0.9215927812300482,3,6,7,10,0.9735594715245993
80,80,80,10,11,8,15,-0.2122018989293324,12,15,6,16,-0.3865658244234891,7,14,6,11,0.9769567426624196,3,6,10,11,0.9800114883677228,3,8,10,16,0.6228055900922871,10,11,13,16,0.9340074072254008,3,7,13,11,0.8716582384599433,3,6,10,14,0.9513056732470143,3,7,11,14,0.9774636107794886,3,5,10,11,0.8689838140275796,3,6,13,14,0.9636802056167414
81,81,81,3,15,13,10,0.6635746222061426,9,10,11,16,0.6287759956772018,6,7,12,16,0.6432832244626366,3,6,10,11,0.9800346796614012,10,11,15,3,0.7367128289902241,3,10,16,13,0.9722332118552772,11,14,4,3,0.791562862827222,5,11,13,14,0.8229770896097813,3,10,7,13,0.8712667692139353,7,10,11,16,0.9540293339982419,4,6,7,10,0.8006558397585355
82,82,82,6,13,4,16,0.7697170922023842,15,4,10,16,0.1214484807857469,3,6,10,7,0.973607354666918,3,6,10,11,0.981814183585658,3,6,14,2,0.5931715831201876,10,11,14,13,0.9333224047753358,11,14,1,3,0.6356840367233678,3,10,16,14,0.8384562504129057,3,6,7,10,0.973607354666918,3,6,16,14,0.7214681821149213,6,10,13,15,0.6561248081034625
83,83,83,5,9,13,14,0.0872271903088337,5,10,14,15,0.1895451640076635,6,10,3,13,0.9575549772658072,3,6,10,11,0.9819680323137588,13,10,3,9,0.642112493541118,3,7,10,13,0.8735443074706418,3,6,7,10,0.9737466316868628,6,7,10,1,0.7103882950471491,6,13,10,3,0.9575549772658071,6,13,14,11,0.970390787599668,6,7,16,14,0.8372686742538309
84,84,84,4,10,16,7,0.7784456527169075,3,6,14,7,0.9480160166467174,9,5,3,11,0.291440968042427,3,6,10,11,0.9817351367881232,3,6,7,12,0.7457665202661345,6,10,3,13,0.9572707243985853,10,11,7,3,0.921500021963599,3,10,11,14,0.9828804326386396,3,10,11,14,0.9828804326386396,3,7,4,10,0.7986760356751548,3,6,14,16,0.7223708247745761
85,85,85,1,7,16,4,0.0891129677558278,13,16,11,10,0.93251338277452,7,13,16,2,0.6053458395505483,3,6,10,11,0.98184517587166,7,10,14,11,0.9540517603596144,3,6,10,14,0.9478661877498341,3,6,7,16,0.9454787998435576,6,10,11,13,0.8892629196289485,6,7,16,5,0.8115680562561525,3,14,16,6,0.7214285886144435,3,11,13,14,0.9710882807516751
86,86,86,8,9,10,12,-1.9125303564414944,3,4,7,15,0.2279360688295392,11,16,9,4,0.0742491680785336,3,6,10,11,0.9819465925292614,6,10,11,16,0.9804559443892069,7,14,11,13,0.919076079305965,3,10,11,13,0.8898465800694171,6,11,13,14,0.9705983152965669,3,10,14,13,0.9707707515730103,3,10,11,14,0.9825239589548405,3,6,7,11,0.9741278963707535
87,87,87,9,7,5,4,-0.5583398156994732,3,4,11,13,0.7823450728815615,11,13,16,3,0.9729680789130112,3,6,10,11,0.9799768350959728,10,13,16,6,0.9721224238160782,7,14,16,15,0.455059641574837,10,11,13,14,0.9354750207364542,10,14,5,16,0.7114459259232783,6,7,10,11,0.9191344004605169,3,10,16,1,0.6424440462426108,3,6,11,13,0.9572262267448578
88,88,88,5,16,4,9,-0.7591711265054975,4,10,14,13,0.7699313271167552,5,10,13,2,0.2178029445598475,3,6,10,11,0.9817652893642052,4,6,13,15,0.17805928292470496,3,6,13,14,0.9598128696274709,3,7,10,11,0.921498439567802,13,11,5,16,0.8137031462856534,6,7,10,11,0.9214887093905861,3,6,14,13,0.9598128696274709,3,6,10,14,0.9482751496163876
89,89,89,3,11,16,6,0.9492081639207328,6,8,10,11,0.7307914123093249,6,11,9,14,0.6116728829757794,3,6,10,11,0.9799171703737792,3,11,13,1,0.6644945704958071,6,10,16,14,0.8451573229441612,3,6,7,11,0.9721102304212661,3,7,11,13,0.8720143539738178,3,7,13,6,0.9484869217702978,3,7,10,11,0.9187325928388728,6,16,3,11,0.9492081639207328
90,90,90,1,6,9,13,-0.321200065477087,11,4,14,5,0.3509785461993205,5,11,10,6,0.866587287719915,3,6,10,11,0.9817523366191016,4,6,7,3,0.8167747262424632,3,5,11,13,0.8210390664974919,3,5,7,10,0.843750474411733,10,11,13,15,0.5644326119454501,3,6,7,13,0.949262991715603,3,10,7,14,0.9752454778176018,3,7,10,13,0.87318016934587
