,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r
118,9,8,6,2,0.4585769708429127,11,10,12,7,0.8859710726850306,10,11,12,8,0.8575177222646109,6,8,10,11,0.9912388776472703,6,7,8,11,0.9874548980809966,2,7,10,13,0.23168632603269934,1,6,7,12,0.9587401026258808
119,2,7,8,4,0.6532496900966958,6,9,10,2,0.3344168918582393,7,8,5,12,0.7003839255666017,7,8,9,11,0.8390884293653488,1,10,8,2,0.8152147726325484,6,7,8,10,0.9754443552908455,6,8,10,11,0.9896572702666658
120,1,3,12,8,0.6138732339334552,1,6,10,8,0.9823995824385208,1,8,7,4,0.9181307230990327,6,7,8,12,0.9851975488602962,1,10,12,6,0.9626336989085302,1,6,7,8,0.9832025210433669,4,8,12,7,0.9039800079003731
121,2,1,6,9,0.3697926128682496,1,2,6,7,0.859381913173772,1,6,11,9,0.7897211410340721,7,9,11,10,0.7916067821029706,10,12,7,11,0.8790655385672633,6,8,10,7,0.9777509466063607,1,6,7,12,0.9592970612926144
122,8,10,7,12,0.9355691510837127,7,10,11,13,0.6198186522946489,3,7,10,6,0.5988224266383295,1,8,10,12,0.923563440919436,1,7,8,10,0.9330912160350225,6,7,8,10,0.9724440290622391,7,8,10,11,0.9197974696324437
123,3,7,11,8,0.6572322181387313,1,9,12,7,0.7852724398649736,6,10,4,1,0.8665968729701509,1,12,4,7,0.8376075829893121,1,6,7,12,0.9555897972504694,1,6,7,8,0.9799526538877068,1,6,7,8,0.9802198767641318
124,3,13,8,12,-0.2300104478674796,7,9,10,1,0.78594646919806,2,8,9,10,0.44113378402256964,4,6,7,12,0.902936692876894,7,8,13,1,0.7507272085139652,6,11,12,8,0.9697651864464782,6,8,12,1,0.9697869353833037
125,7,9,3,5,-1.1172658173803467,8,11,9,6,0.8488615857861632,1,8,11,10,0.8887265617200613,7,8,12,9,0.8645334799157078,7,8,11,12,0.8583084051466712,6,7,8,12,0.9807979850417257,6,7,8,12,0.9831875380259857
126,8,10,12,6,0.9865203575188343,3,8,10,11,0.5821251754027683,4,7,11,12,0.8159486365520919,6,7,12,11,0.9630144100207768,6,10,12,8,0.9859029457522694,1,6,7,8,0.9838773058886532,6,7,8,12,0.9784401778840711
127,10,13,6,5,-0.517762804153818,1,4,8,9,0.5916006818338544,10,11,9,12,0.7412143312519821,1,6,10,11,0.9627706616407974,7,6,12,9,0.8627831875182916,6,10,11,12,0.961310448912187,1,8,9,12,0.7723773142753583
