,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
170,170,170,170,170,2,5,9,13,0.0773926768384207,6,8,9,10,0.973773411998916,10,14,17,30,0.9431729013755868,6,10,20,27,0.9593627298894302,2,3,8,14,0.7030921456188595,8,19,21,35,0.8550595596373369,5,6,10,13,0.6937653401130884,5,6,10,17,0.8939505479203775,5,6,10,17,0.8939505479203775,5,6,10,13,0.6937653401130884,1,4,10,6,0.9649439901831373
171,171,171,171,171,3,16,22,26,0.5296026263882277,19,20,22,24,0.9392249493685304,11,32,36,41,0.572714761067246,5,6,14,26,0.9418612740004472,7,8,11,13,0.9235064984572692,17,30,34,37,0.7965755936460831,10,13,17,27,0.9142699030411564,6,7,10,17,0.958584976294654,5,6,10,21,0.7329339157813379,17,19,27,30,0.9380484898121064,1,4,10,6,0.9644405929077446
172,172,172,172,172,19,32,40,45,0.3681822765823409,19,26,28,30,0.809881780619526,27,43,54,58,0.8526668968643898,5,14,17,18,0.6567130226310981,42,45,53,56,0.5719240359413056,8,10,16,18,0.5396732578193097,5,18,21,25,0.1672968113678739,6,7,19,21,0.856626672877935,10,17,19,20,0.9676271425492988,18,27,35,41,0.4785787962222547,1,4,10,6,0.9645399679850982
173,173,173,173,173,5,24,32,36,0.7565345334894282,1,13,15,18,0.1046607223965971,19,26,31,37,0.976378255649388,3,13,29,31,0.5228919902945687,5,6,17,21,0.6409281569327391,9,10,16,22,0.8419788431958399,4,17,19,29,0.949827648616433,5,6,10,13,0.7011052622877425,5,7,13,17,0.645212115120825,5,13,17,18,0.0948874963874972,1,4,10,6,0.9607246188339202
174,174,174,174,174,7,15,16,20,0.483112785787688,5,10,16,17,0.5729697243958614,3,12,14,21,0.529097885298996,5,15,20,58,0.1464479424801636,5,18,22,27,0.6642302089855524,1,5,6,7,0.952949848735663,10,13,20,21,0.7049446935979896,5,17,18,21,0.0576002764417157,5,13,18,20,0.1950292854370924,2,5,13,17,0.0518892861589974,1,4,10,6,0.9654768156267625
175,175,175,175,175,2,10,17,18,0.501260976642572,2,13,14,16,0.1710869993564991,7,16,37,38,0.4989618685199946,1,4,32,33,0.8781300154954708,8,10,13,14,0.9633749990650308,2,5,10,13,0.2475098738514115,5,10,20,21,0.6976634908469503,6,19,28,31,0.8489670995961667,6,13,16,18,0.1575903528864686,17,21,25,32,0.866379872954659,1,4,10,6,0.9658739498177747
176,176,176,176,176,17,30,35,38,0.7669126301515015,5,6,7,17,0.9191866256353194,2,20,22,25,0.8630916829664279,5,16,17,18,-0.0309132672528307,3,22,32,39,0.5619307593265307,4,5,10,17,0.8770120919774828,5,8,10,13,0.6501484704694371,5,8,16,17,0.4979311576811813,5,6,16,17,0.5727659513760495,5,6,16,17,0.5727659513760495,1,4,10,6,0.9656225467785408
177,177,177,177,177,13,19,30,34,0.5054148479018273,16,19,34,37,0.4150767629092192,8,13,19,21,0.6177058694564451,5,6,19,20,0.906224642399093,20,29,32,36,0.8764975956651916,5,8,10,13,0.6523278554193426,6,8,10,19,0.9811857319735278,7,10,14,16,0.8200481411163731,6,17,19,20,0.9675198290684012,5,9,10,13,0.588295620050531,1,4,10,6,0.96499857739228
178,178,178,178,178,8,13,35,38,0.6102894311213354,1,5,15,21,0.110083503978263,1,3,5,16,0.1206199620503523,19,20,22,27,0.9708957025499592,10,16,22,26,0.7989580452829284,1,13,59,64,0.779988322230721,5,13,16,18,-0.5414590237997383,5,6,30,31,0.8658388233643073,5,13,17,19,0.5010191800396768,3,4,6,8,0.9092020348667984,1,4,10,6,0.9644475185489774
179,179,179,179,179,8,25,26,31,0.9770155324309376,5,7,10,17,0.9201482009379832,1,15,23,26,0.8904730952952614,6,17,19,38,0.7924287256698193,5,13,16,17,0.0163971804452123,13,19,36,38,0.1963886096907722,5,6,20,53,0.8954842860817194,5,8,10,13,0.6545668592974063,5,6,8,16,0.6504415494533223,6,16,26,32,0.8662768394723501,1,4,10,6,0.9638958850791656
180,180,180,180,180,6,13,17,18,0.6347298385061564,14,45,46,54,0.6073455860712543,2,7,18,20,0.553696157539,7,16,17,18,0.4790304791771084,5,10,17,20,0.8597565049911131,8,18,22,28,0.4866848272468249,5,6,8,10,0.9323212829534344,8,13,19,26,0.896579049664566,5,8,11,19,0.8668020477742259,5,8,13,16,0.1557042784899561,1,4,10,6,0.9596468012695758
181,181,181,181,181,4,9,11,13,0.8402387478928098,2,17,32,36,0.6424665557880754,4,8,18,19,0.8469915731102318,7,12,14,25,0.9031798624598474,7,8,35,40,0.8813854666851977,6,19,20,30,0.9724237004830154,8,12,13,17,0.737367840756658,5,8,10,16,0.649818299923978,6,8,10,16,0.8974542816491601,5,10,23,25,0.9382380843838152,1,4,10,6,0.9637764082170184
182,182,182,182,182,5,7,21,29,0.6035082558953786,1,18,20,29,0.7815386789473534,7,10,11,12,0.9155582831561816,5,9,18,21,0.0972310932299826,5,6,9,18,0.6411509446252401,10,17,18,29,0.7782502398562268,6,18,19,21,0.5123205019261423,5,8,30,37,0.8722297555740446,7,38,41,43,0.2931126831032187,3,4,5,10,0.6471417238257655,1,4,10,6,0.9591673042781469
183,183,183,183,183,4,6,10,16,0.8650931101316834,6,8,27,38,0.8832360352103517,5,6,7,13,0.7662144800628505,3,7,13,16,0.2991956480663819,10,19,24,26,0.9105543093084963,5,20,45,49,-0.1252893074029342,5,10,13,16,0.2363222004106898,5,17,18,30,0.4805453615332297,5,7,10,16,0.7173982898079962,5,6,7,16,0.7176244246476627,1,4,10,6,0.9577076642625433
184,184,184,184,184,1,15,21,24,0.5081475618008611,1,13,14,26,0.9563758599239134,13,22,23,37,0.9020885327607182,5,10,11,18,0.6448064064674024,5,8,17,19,0.8253230221758205,6,10,22,32,0.897263808504132,10,13,16,32,0.7013663266494936,10,21,22,24,0.8024553451677903,5,18,20,21,0.1917714325490552,5,17,31,32,0.863568804160556,1,4,10,6,0.9559589182728798
185,185,185,185,185,3,20,24,33,0.5819275554269177,5,9,10,19,0.879301372432006,5,13,17,24,0.5236853433386163,10,14,19,23,0.9104411085921412,5,8,9,10,0.8712062859247746,10,16,17,20,0.842810640233747,3,10,11,17,0.8607844382297566,5,7,8,10,0.9536764991469262,5,13,26,32,0.6596835913457066,10,13,21,23,0.7657127870158555,1,4,10,6,0.9596057033146514
186,186,186,186,186,19,24,27,30,0.9727086000056712,2,8,12,13,0.45599535899538,3,5,16,17,0.0320208304023796,5,17,22,30,0.8007241887073417,5,8,16,19,0.5782359128380612,5,17,18,22,0.5746049116042242,6,10,20,21,0.9210921107774072,10,13,18,19,0.66379071281864,5,10,17,18,0.6380055065674459,5,10,21,27,0.7686061189079109,1,4,10,6,0.9535663520421173
187,187,187,187,187,14,15,33,35,0.4473641311060182,4,12,16,32,0.7269954882921407,2,6,12,17,0.7250309850086412,6,13,19,21,0.6715760549550527,5,6,7,14,0.954459305744482,5,6,8,36,0.8002511635264704,3,5,8,11,0.5721852421064717,5,13,16,27,0.2800338454411274,5,6,8,10,0.9326813112048914,6,13,16,18,0.1770432213827668,1,4,10,6,0.9586292733874391
188,188,188,188,188,3,5,7,10,0.7525317004704302,1,3,5,8,0.5894736250696881,6,17,20,33,0.8412740178930548,9,18,29,43,0.6616706794109091,13,16,43,44,-0.1228857555003244,5,16,17,20,0.5146761404609148,5,10,18,20,0.6948782830975935,6,10,21,24,0.8712364791852274,5,6,27,33,0.7104546180695464,13,18,20,27,0.7214729603454753,1,4,10,6,0.958814582173406
189,189,189,189,189,2,5,6,7,0.7375484262983841,7,22,35,39,0.7832151182116437,1,13,31,35,0.9019426942042412,3,7,10,24,0.9137997784202012,7,17,18,20,0.8499296405696916,5,8,16,17,0.5159396359601398,3,6,10,21,0.7387719569615663,5,9,13,19,0.534960561487343,5,6,8,10,0.932732370847388,5,6,18,21,0.2456512177568039,1,4,10,6,0.9586828145545373
190,190,190,190,190,8,15,16,20,0.4535200448073515,16,19,24,29,0.6708510498869334,1,8,12,16,0.7142637001702771,5,8,20,26,0.8963607111184426,36,39,54,56,0.5428261853518591,7,10,14,21,0.8311115170665886,2,6,43,47,0.4504203539548223,5,10,13,41,0.1871895570765449,6,13,16,19,0.617561548209955,6,8,20,21,0.9042544511954144,1,4,10,6,0.9587845846189845
