,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
166,166,2,10,15,16,0.4125107304066819,1,8,9,16,0.817088205554376,6,7,9,13,0.4517775338876577,5,19,28,30,0.1063298760523312,1,9,13,17,0.6644890062990254,1,3,6,7,0.2864905017444097,6,7,9,13,0.4517775338876577,1,6,7,13,0.3204120732965838,1,6,7,9,0.4016664180115856,16,18,29,19,-0.1846801761904479,9,13,1,6,0.8351814476736059
167,167,9,14,19,24,0.5111499697998643,8,17,24,26,-0.5601830615440484,8,13,20,26,0.2230946432487047,2,17,26,30,-2.3264969768380843,1,5,17,20,0.0558144241903486,1,9,16,18,0.3130465715266399,1,9,17,18,0.1782523521978777,2,19,28,5,0.8151036703278804,7,8,9,17,0.2815914623832035,6,9,20,24,0.480865077160626,9,13,1,6,0.8342259863141704
168,168,5,10,13,16,0.3671669043637274,3,14,20,27,-0.5277994595796827,4,7,13,21,0.8186174860807823,6,15,22,26,-0.8138417209759972,7,9,12,13,0.3971013399025089,6,13,17,23,-0.8214021592013074,1,6,7,9,0.3992698501757485,13,24,15,1,0.8948085215848529,1,9,10,17,0.2393478612096733,1,7,13,19,0.4602730528686809,9,13,1,6,0.8341828974347534
169,169,6,7,17,18,-1.6694951886888174,11,15,19,26,0.1053232619687002,4,9,13,16,0.8539555166711357,13,17,18,19,-0.3345269766322052,1,10,13,17,0.1540810060840587,9,17,19,6,-0.1168034423836861,1,17,18,19,-0.4481916243229331,1,6,8,9,0.8551464486538555,5,7,9,13,0.804665469928814,1,10,17,18,-0.6565558015393866,9,13,1,6,0.8342225985292795
170,170,15,19,24,26,0.114263978593447,17,19,20,21,-0.1340457077441017,17,30,31,13,-2.453199693203591,6,7,9,13,0.4514081546360907,15,17,26,19,-0.8889847961027006,5,7,9,18,0.2613266989661871,1,24,27,28,0.3209356025564684,1,10,17,23,-0.984357079079376,5,9,17,18,0.1490743397914584,1,9,16,19,0.5712981374623798,9,13,1,6,0.835088223547183
171,171,6,16,22,26,-1.8793608090902407,3,9,15,16,0.662456268314972,2,5,7,8,0.7689659373595947,9,16,17,20,-0.3100915478743848,6,16,21,26,-0.3972919627769324,5,9,13,24,0.9672701818865228,9,17,19,24,0.2227749842719248,1,5,24,29,0.8009062751809011,7,9,17,23,-0.8279600450527482,7,9,16,17,-0.514864811532886,9,13,1,6,0.8348325559031952
172,172,1,4,8,9,0.977505941384121,3,13,19,25,0.7850127137758747,7,11,6,5,-0.0988247972349012,13,18,25,31,-0.032162653941379,1,7,13,18,0.1586868385091092,7,13,20,24,0.2893324036474994,1,9,16,18,0.3094652079029782,1,7,17,18,-0.8221506595066881,1,6,7,9,0.4013401352328305,1,6,9,10,0.4958850632276216,9,13,1,6,0.8347348776233127
173,173,5,7,12,14,-0.4172460645188813,18,24,25,1,0.6058755169337635,5,7,8,17,0.1189431206686134,1,5,6,7,0.278118396832591,5,6,7,9,0.424644046959149,1,9,13,16,0.7953344704896815,1,9,13,16,0.7953344704896815,10,13,17,24,0.026533994453483,1,6,9,13,0.8347308388261573,1,6,7,9,0.4063267645026233,9,13,1,6,0.8347308388261573
174,174,5,7,16,23,-0.6700453975475127,8,18,19,23,-0.1962055624544991,1,5,10,13,0.7789029320633749,6,16,17,19,-1.119913259788507,1,9,11,17,0.4846892570737848,1,6,13,19,0.5656474014734421,7,9,26,29,0.1325073917341676,7,13,17,24,-0.0701068181727371,7,9,17,23,-0.8311316287340902,1,7,13,16,0.2144122484465883,9,13,1,6,0.8352137227416628
175,175,11,16,17,19,-0.758769777064348,5,6,20,23,-0.3710292551022607,1,7,13,22,0.1824451411689894,5,13,17,22,-0.2366251137116877,7,9,13,21,0.8169802080805912,5,6,7,10,-0.3391047541444232,1,5,9,18,0.7568651340425068,9,24,1,31,0.3969506341749416,9,18,13,5,0.8103182114363353,1,6,9,13,0.8352143939533279,9,13,1,6,0.8352143939533279
176,176,1,6,11,13,0.5791923267365693,1,8,14,19,0.5646007669020832,5,9,16,17,0.1774746297691731,15,6,17,9,0.3335166142915792,5,6,18,20,-0.1789528151716335,6,20,26,28,-0.4902556937516908,9,23,30,15,-0.2093600577142442,9,15,26,24,0.5241891644348962,9,18,16,13,0.3640747501499854,1,13,17,23,-0.2354613003504788,9,13,1,6,0.8351917920905986
177,177,7,9,11,24,0.4860155879184374,4,6,24,1,0.734257070367146,1,5,7,9,0.7528921471464507,5,7,14,19,-0.1561921889497464,16,18,19,21,-0.0318883468404138,6,16,24,15,0.2800207068702045,3,5,9,17,0.5847595862427334,6,9,11,13,0.6914726868573258,1,13,17,18,0.0898693074111922,1,9,13,16,0.7959335779210094,9,13,1,6,0.8356901393722207
178,178,13,25,17,12,0.1260616912055457,1,5,13,17,0.5598471181642469,9,17,23,24,-0.3089936899246108,5,6,9,17,0.2410918046364534,1,18,21,29,0.7697346918418912,9,11,13,17,0.528731317299992,7,9,17,19,-0.234247824552108,6,8,9,16,0.5291803242183257,1,6,7,18,-0.5153920519699462,1,7,19,26,-0.502130581600488,9,13,1,6,0.8350404176548731
179,179,1,23,24,31,-0.7035242962228245,6,7,10,16,-1.2660631184085829,7,14,17,19,-1.2488749447509022,6,7,9,13,0.4532263790753525,5,7,9,13,0.8076388836835926,1,13,16,29,0.7660090300469435,1,6,10,13,0.4158773951383305,1,17,18,23,-1.073875711946608,1,7,13,19,0.464669292542304,1,7,9,17,0.1669982519291906,9,13,1,6,0.8354775912878867
180,180,2,5,17,18,0.0772823532912011,1,6,7,10,-0.3270383127008622,18,19,22,28,-0.2617094516858302,1,6,7,13,0.3282901857143829,6,7,20,23,-1.1815824056854425,7,17,23,28,-1.037482983174418,8,10,13,24,0.7129667940314113,1,5,6,13,0.8078191725149778,9,13,17,28,0.6167101585763313,1,9,13,19,0.8863098617392238,9,13,1,6,0.8350559233972411
181,181,14,18,24,28,0.1248520374551329,6,7,9,11,0.13949950079671,3,5,7,15,0.6949347498862316,7,9,15,24,0.6912538133774779,9,14,17,19,-0.1465371671551012,15,18,19,24,0.3844953978360632,7,16,18,19,-1.2026171886763093,7,9,13,16,0.3560927163795954,1,5,9,17,0.5900733260419659,16,8,5,21,0.8464500747048127,9,13,1,6,0.8349061627909453
182,182,4,5,12,16,0.3460958476036125,6,8,13,18,0.4007591701872716,5,11,17,24,0.1431160337717308,20,23,15,1,0.2797786963862215,1,6,7,9,0.4095916267059537,6,15,22,28,0.3342740913933081,8,18,28,13,0.6493977851316467,1,18,30,31,-1.6966682747374158,5,6,9,13,0.879305417175174,1,5,6,9,0.8337970938993641,9,13,1,6,0.8354998358219876
183,183,1,7,13,19,0.472873897919991,6,11,13,18,0.0278272080975373,10,31,7,1,-0.7976446895587594,7,13,17,29,0.1369379848203303,1,6,13,15,0.7906266010915757,17,23,30,7,-3.0547490592105664,6,13,16,19,0.0555447055170927,1,15,26,9,0.6077671557531374,1,5,6,9,0.8353241959864206,1,3,7,13,0.6752077837711083,9,13,1,6,0.8351672942340953
