,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
10,10,10,10,25,31,33,34,0.7530542495473741,9,13,28,29,0.7410995879734232,9,12,14,21,0.720593348983238,19,27,34,47,0.3977598322752326,1,8,14,24,0.6054438379360222,7,17,18,24,0.9156977435510496,17,33,37,47,0.4737621974481688,11,14,19,24,0.6751042324947905,7,8,9,17,0.5818128949544308,1,9,11,14,0.4909289874020932,20,11,8,9,-0.9664220967844743
11,11,11,11,18,20,21,36,0.6201680528648695,1,4,10,12,0.5129599896006956,3,5,7,11,-0.5427591498892013,10,19,24,25,0.7269244224800311,8,9,16,33,0.5845823033812053,19,20,23,26,0.90104590986066,9,11,16,22,0.5432493671359548,1,7,11,17,0.4999761474591755,7,19,26,27,0.7110751042199662,7,8,9,16,0.5790655348401195,20,11,8,9,-0.9809725277159895
12,12,12,12,2,8,11,22,-0.2553806831074876,17,18,28,31,0.3708447562145427,1,9,25,26,0.7097227748280026,1,7,9,10,0.7274897338773241,7,12,16,23,0.9241765019788118,4,8,16,28,-1.90492266422443,9,14,19,28,0.6585197435041785,7,8,9,20,0.2527457043957896,2,7,8,11,-0.340223857861891,1,7,8,18,0.5153431668539482,20,11,8,9,-0.9778673014939647
13,13,13,13,1,2,8,11,-0.3792573786241453,9,33,34,42,0.915258522871206,6,8,23,24,0.6634120399170454,8,9,11,23,-0.3439102104127773,1,8,9,11,-0.4985406161013579,7,8,9,20,0.2527513628133201,6,9,16,17,0.9421419256385948,1,7,11,16,0.5079986856847876,18,24,26,28,0.7720942602674615,21,29,30,32,-0.2746953840389317,20,11,8,9,-0.9780561203874343
14,14,14,14,6,24,39,48,0.2735126244973094,6,9,17,18,0.9360434765700706,23,26,29,36,0.8732378858734036,20,29,32,34,0.4160740537098476,7,17,26,35,0.8305925402841742,8,17,21,25,-0.6615633701239578,5,7,11,14,0.4852235237672946,5,8,25,26,0.1257187939507116,14,16,17,18,0.1827004435572213,1,9,11,14,0.4853489255551684,20,11,8,9,-0.9757667320914285
15,15,15,15,4,9,10,26,0.4404250966012574,7,9,13,14,0.9826052641120548,11,16,23,26,0.6420191807544201,8,9,23,26,0.6242468987569096,1,7,9,25,0.686094245784368,1,9,19,26,0.8284234630292618,4,8,11,16,-2.273040865435668,1,15,16,23,0.8836685048321373,5,16,19,30,0.8871808763248905,1,5,7,8,0.4411901251859186,20,11,8,9,-0.9685118839738014
16,16,16,16,2,3,5,15,0.6086316867097542,9,23,26,28,0.7006773092236934,11,20,23,28,-0.6281649552009547,12,18,30,39,0.2597909060488703,5,8,11,13,-0.3283172316835356,8,14,28,30,-0.9617138101925868,1,5,8,11,-0.4881503476598587,8,16,20,25,-0.4845856373246251,1,7,9,14,0.966841732693322,5,8,11,16,-0.5323442483072083,20,11,8,9,-0.9777357741161561
17,17,17,17,1,15,25,37,0.2539425912084865,2,5,9,20,0.8755716911441009,6,7,8,15,0.4884702278668174,7,20,25,48,-0.4143114083305179,5,21,23,44,0.445769107592274,1,16,17,20,0.6893993805414014,8,11,19,26,-0.2090029350597164,1,17,20,23,0.878593849119724,7,9,11,14,0.5704788918023485,1,8,9,11,-0.4988953884853551,20,11,8,9,-0.9786261501111555
18,18,18,18,16,17,25,36,0.6468049443253115,5,9,11,16,0.5747374500256435,3,10,13,19,0.6172461514537745,1,17,20,33,0.8818801928475084,4,5,16,17,0.4184327958638568,7,8,9,32,-0.3765325222135791,1,8,26,29,0.6399854778466485,11,24,25,30,-0.3779878481579515,8,9,16,17,0.3700686181522774,8,9,14,16,0.3812751285614991,20,11,8,9,-0.9785934583743248
19,19,19,19,3,16,24,25,0.1839382257249333,8,11,12,35,-1.236498966732618,3,13,17,26,0.6447715771196633,7,8,9,17,0.5808047213836152,9,14,16,17,0.6560133968399673,8,9,11,12,-0.5090490861599668,5,17,23,25,0.7802469556802949,1,8,16,17,0.2988168257015047,1,7,20,23,0.820264828477043,9,14,16,20,0.7588746401052774,20,11,8,9,-0.9684883284029371
