,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
109,109,109,6,7,9,14,0.9397841609231692,21,23,33,35,0.592563703909855,12,14,18,22,0.5306175164684848,2,3,6,10,0.6262543247255891,6,13,16,17,0.875584792366622,8,10,16,21,0.1374527174103388,5,6,10,20,0.7414827015386343,5,8,12,13,0.6087963559900174,5,6,9,11,0.4692189144825991,5,8,10,14,0.5848000808166064,5,10,21,17,0.8489370453832186
110,110,110,9,15,35,37,0.4274876238487458,17,21,47,52,0.461953606714226,2,3,5,6,0.5560700662155538,7,8,16,30,0.1376720205538879,5,6,28,39,0.1690365555397822,8,16,17,20,-0.0391954061358716,13,17,18,19,0.8051310528144571,6,26,28,34,0.7254245758352771,10,13,19,20,0.825118005983305,5,6,10,19,0.7761586758401441,5,10,21,17,0.8473821864540325
111,111,111,5,26,30,50,0.7267620160489343,7,10,11,25,0.0737986177552245,1,33,35,36,0.8160858761348708,5,19,22,23,0.9370084421205928,17,21,26,35,0.4978099361272996,1,16,19,21,0.8232554333424855,7,14,17,19,0.9339984596282882,6,8,10,17,0.5715003558434464,5,10,13,16,0.981634401107447,10,18,19,22,0.8860204595027985,5,10,21,17,0.8477689884200126
112,112,112,3,18,19,25,0.1308363188665396,18,26,27,29,0.7328019035172927,16,23,27,28,-0.0297819174493114,5,9,13,17,0.9823136508506134,6,16,17,21,0.7278582654799446,7,22,27,35,0.3604212744904335,5,6,19,20,0.7854014742400987,5,6,8,16,0.4941214914722116,5,8,31,33,0.7018034512722156,5,13,16,17,0.8661115002241399,5,10,21,17,0.846446647857851
113,113,113,15,20,24,46,0.9391403219231834,8,9,19,20,0.2795028522475247,2,14,16,21,0.6298285048371611,5,6,7,21,0.5262670067597705,5,7,20,21,0.4850289457611438,10,17,18,32,0.3940246752024332,3,10,13,17,0.5607925851776732,5,7,10,14,0.9431347163382976,21,30,32,36,-0.2716474147671566,6,13,17,18,0.8603858937670221,5,10,21,17,0.8476882612626535
114,114,114,5,8,13,16,0.6018186957605672,1,13,23,25,0.7877581398192937,3,9,10,17,0.4210068978737935,5,10,12,13,0.9810347880861284,5,6,13,18,0.9422387848838804,5,13,20,36,0.9085059969000344,5,8,13,17,0.5961152065220581,6,10,13,19,0.8726210007284781,6,10,16,17,0.9432915438208596,5,10,18,19,0.9421967201907888,5,10,21,17,0.8495531738295828
115,115,115,2,3,5,6,0.5639208533998026,1,6,12,13,0.9805106066665992,4,5,10,16,0.5985023408587521,3,10,17,19,0.562490778834785,6,21,32,33,0.3290571322779535,6,7,18,21,0.7796697066773766,5,6,10,21,0.7046592606157924,5,6,10,13,0.8616857593247778,5,8,10,16,0.5851823540082429,6,10,16,17,0.9436113896488564,5,10,21,17,0.8497434663877844
116,116,116,22,31,37,39,0.4343205582370437,8,21,35,38,-0.3686417579596006,8,14,25,29,0.1051977102121793,4,5,11,18,-0.5195927289222724,5,23,26,30,0.7590388123318574,5,13,16,21,0.8465793669502778,8,10,13,27,-0.1414433319217896,6,13,14,20,0.8948686209553398,6,8,10,16,0.5761625226846148,10,13,18,28,0.6499345335372793,5,10,21,17,0.8476250225047992
117,117,117,4,8,9,26,-0.3081834794081959,10,12,13,21,0.8065438133437253,4,10,16,33,0.5958143851108704,4,5,19,21,0.2981620152833313,2,12,17,31,0.6984840033199972,5,18,20,22,0.8979340629546861,4,8,10,18,-0.4918092211471263,5,6,8,17,0.504941736414273,17,21,25,27,-0.4758089535001348,5,6,10,11,0.4663414843096909,5,10,21,17,0.8493677375948707
118,118,118,1,9,16,21,0.7713378610046014,2,3,15,24,0.6586434089047559,6,8,13,16,0.6005541223544197,2,8,15,19,0.6266361152300115,2,25,31,34,0.6817881302968223,17,20,26,27,0.4257570552694268,5,6,13,16,0.9441467980573236,5,6,10,16,0.9428144827416604,6,10,11,13,0.618355794930426,10,21,28,34,0.3260696149095756,5,10,21,17,0.8494095567432025
119,119,119,2,5,13,20,0.9237442837118252,17,21,37,40,-0.2315526040312434,5,10,18,25,0.7820946980723562,6,10,13,19,0.8796532261856416,6,16,19,21,0.8801631285669261,5,6,10,17,0.944727032174046,5,6,8,10,0.4661970883201601,11,16,17,20,-0.0659637577798659,5,6,13,22,0.9131261135725794,10,19,31,37,0.7685567251755301,5,10,21,17,0.8468149816074451
120,120,120,5,6,11,13,0.5524896895159146,1,8,10,16,0.4927065108800312,2,12,24,36,0.9404183365596676,5,8,17,18,0.3987003014102336,15,16,20,32,0.0426791492497669,5,6,7,16,0.7888685363002897,4,6,7,8,-0.5276545572134637,5,10,13,17,0.9800858409622936,10,18,21,23,0.8433239644308018,6,10,32,50,0.5564103915612829,5,10,21,17,0.8492984803882722
