,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
203,203,203,203,203,24,26,11,19,0.6008897462491627,4,5,17,22,0.659766981115067,2,10,16,19,0.7567514692507905,9,11,13,15,0.2943165422643615,10,12,14,22,0.9449832393916064,2,3,6,11,0.7829695686149265,4,13,25,10,0.9504549670433018,5,10,11,17,0.7522270598385103,6,10,12,13,0.8481815912768355,2,5,6,19,0.975563803754004,5,6,10,14,-0.18718264860171097
204,204,204,204,204,15,19,11,17,-0.2198371246949355,2,7,13,17,0.2198155020270839,5,6,10,11,0.9626982366808072,9,10,15,16,-0.9271214256305412,2,3,10,14,0.7527630852812172,2,4,6,10,0.9618363414431688,2,10,12,25,0.8369525021153137,8,10,14,19,0.7509635244465782,5,6,11,19,0.9753081103151516,2,6,10,11,0.9614936838588982,5,6,10,14,-0.18436728393352086
205,205,205,205,205,6,12,26,3,0.5483275743818814,6,12,22,23,0.6995570327198728,2,5,8,26,0.7049713037638542,5,6,9,12,0.8631643670588083,4,5,12,31,0.9027612464964222,11,12,21,29,0.6467006195060894,2,4,5,27,0.7660606963011937,4,5,6,11,0.926265609977204,2,6,11,12,0.9722118540879112,5,10,11,13,0.975519238334576,5,6,10,14,-0.18836244804911528
206,206,206,206,206,14,19,22,8,0.7494425997450329,2,9,15,30,0.1688709271601177,6,18,28,13,0.3102344204729366,6,10,22,23,0.7978350852829931,2,4,5,6,0.926384514079982,9,13,29,27,0.1894816398767536,2,4,5,6,0.926384514079982,5,10,11,14,0.941044954769176,2,5,6,10,0.9633870292692625,2,4,5,10,0.9372140762942412,5,6,10,14,-0.18888415715692441
207,207,207,207,207,4,5,7,12,0.7902272652034019,3,14,15,4,-0.4011171760673824,10,12,13,24,0.5312814433029776,6,14,21,31,0.9635942475986692,1,3,5,10,-0.0595906831821992,1,5,9,11,0.3111694745991997,4,10,27,6,0.905993922831516,2,5,6,11,0.9496447323515969,5,6,13,14,0.972437679469052,2,4,10,11,0.935760197419822,5,6,10,14,-0.1860614512104164
208,208,208,208,208,4,7,8,11,0.1345197226179535,15,25,26,29,-0.4915673389720854,2,5,6,10,0.9588693606194896,6,13,14,28,0.8703269851989492,5,6,7,10,0.8633493418873859,5,6,10,28,0.9175961690268436,2,4,11,12,0.973344866210494,2,5,6,7,0.842041872405802,4,6,11,12,0.9926576927404206,2,10,11,13,0.9709387551827364,5,6,10,14,-0.17155798310279602
209,209,209,209,209,7,13,26,27,0.7641708694502096,2,12,18,20,-0.192850657444457,6,13,24,30,0.4678536682131606,11,12,13,16,0.6254866615466252,2,5,9,13,0.8682211616348472,4,12,14,16,0.5737927944024577,5,6,10,12,0.9371492953249384,2,10,11,12,0.9645149834771288,10,13,14,28,0.8647170577520158,6,10,11,13,0.9452508976859302,5,6,10,14,-0.1739164044198862
210,210,210,210,210,9,14,20,27,0.1841962709702469,10,14,29,1,-0.1460975504314576,3,25,10,30,0.5954692027027827,7,10,30,4,0.759696412475448,4,5,6,10,0.9620208773892172,6,11,12,22,0.9361348556396192,4,6,10,12,0.9830986305434672,5,6,12,21,0.9188107096704348,2,5,10,11,0.959588287700814,2,5,6,10,0.9579411088482144,5,6,10,14,-0.1681832565769743
211,211,211,211,211,26,19,27,31,0.9259647019868988,2,7,9,12,0.3669209275213758,2,6,7,10,0.8618460627754827,13,31,22,11,0.97846081373121,5,6,14,22,0.9568310514412054,1,5,10,13,0.7545891707150466,1,2,6,12,0.7052717870563118,5,6,13,31,0.9780055704253954,2,6,10,11,0.9618835398360503,2,5,6,11,0.950045609599866,5,6,10,14,-0.18740338096786702
212,212,212,212,212,1,11,18,25,-0.3080838034699524,3,7,12,21,0.158611922938761,11,12,26,27,0.9350039815844126,10,13,26,28,0.775894349985446,1,6,11,21,0.7746146266885764,2,5,6,12,0.9697441013650544,2,5,11,14,0.8922482212460594,5,11,19,21,0.9752179074101756,2,6,11,12,0.9688811852579834,2,5,10,11,0.9601414018717432,5,6,10,14,-0.172423455182515
213,213,213,213,213,6,7,13,15,0.2646050955022809,5,10,12,14,0.964497284603556,9,11,24,29,-1.091861518615599,11,12,13,14,0.9457156740250676,5,10,13,21,0.937563377881048,2,4,14,22,0.9039114817664352,5,13,17,25,0.6353921900087518,2,6,19,22,0.9570149223601304,2,5,6,13,0.973414378566706,2,5,10,13,0.9751976250432524,5,6,10,14,-0.1894578974057255
214,214,214,214,214,5,8,13,25,0.6522663453374294,2,24,8,20,-1.741650238108929,2,24,27,17,-0.5806797701179938,5,8,12,25,0.5361409364530503,6,10,11,15,0.7820912351023825,4,5,10,11,0.9371851446940004,13,14,27,31,0.8132325704686767,2,10,11,14,0.9387501873349916,6,10,11,14,0.956298898905121,2,6,10,11,0.9621162104212078,5,6,10,14,-0.18768379632734633
215,215,215,215,215,5,18,21,23,-0.1809351701649753,2,11,21,24,0.6941735147085517,6,12,17,27,0.6256309703692393,11,28,31,25,0.8566216283606358,2,5,9,10,0.8901320841026108,5,6,10,12,0.9375428350587328,2,5,6,11,0.947588019016056,2,6,10,12,0.9376064283576748,2,5,10,12,0.965722896535444,5,11,12,14,0.9603457916304936,5,6,10,14,-0.17230260884998683
216,216,216,216,216,6,10,11,21,0.9570500272011706,6,10,18,27,0.6798763273917681,6,10,12,17,0.6763901155690386,1,5,9,10,0.3641163303681716,4,6,9,11,0.8440285577473032,4,11,13,19,0.9790621208760322,6,10,12,13,0.8487300422823255,2,6,10,12,0.9420999651042756,11,13,24,27,0.5774239803435341,2,10,13,14,0.9730347380901356,5,6,10,14,-0.18904562678023873
217,217,217,217,217,2,3,10,14,0.7519984111973259,4,5,8,10,0.6847549933496847,11,20,28,14,0.350702566640767,1,4,10,13,0.7027702688350288,2,4,5,6,0.9265070582602808,9,11,20,21,0.4166168492132762,2,5,6,10,0.9625762918437228,6,10,13,14,0.963232171991287,5,6,10,13,0.9496621480848731,5,6,14,21,0.9715418039090292,5,6,10,14,-0.1860164754068585
218,218,218,218,218,4,13,17,24,-0.4910189045060296,12,14,26,5,0.8983435557049652,2,8,13,14,0.714599574088556,5,26,28,21,0.8420562427226443,2,5,6,11,0.949278158611455,4,5,6,10,0.9626347143678804,2,4,5,12,0.9724683725166724,2,5,10,11,0.9611362524703112,2,5,10,12,0.967070875630332,2,6,10,13,0.9489293901006528,5,6,10,14,-0.1835901357244485
219,219,219,219,219,2,20,23,29,-1.521937018884406,7,9,15,16,-2.184015121866928,4,5,6,7,0.8026945504326136,4,6,16,20,-0.1384670417570768,5,22,25,27,0.9865896796721828,4,5,6,11,0.926907023973046,2,5,10,12,0.9672638551311412,5,6,11,25,0.9742004892948846,2,5,10,11,0.9612595468111094,5,6,14,19,0.971344051212808,5,6,10,14,-0.18517739801004485
220,220,220,220,220,2,25,6,10,0.9436218904185392,5,10,14,15,0.724664100849632,5,6,26,13,0.920515388765532,1,5,6,11,0.7640332444306541,5,10,11,14,0.9407860288453832,6,25,26,29,0.54318334633587,2,4,6,13,0.9780649774478044,2,4,5,6,0.9264004827505278,6,10,11,12,0.9408859678430648,2,4,9,11,0.7817696081642822,5,6,10,14,-0.184038817196565
221,221,221,221,221,7,30,28,8,-0.5667065514357907,9,20,22,30,0.2979450196982875,21,24,30,26,0.4248561328255554,2,4,5,9,0.7922748763256839,2,10,11,28,0.9069111145175232,2,5,9,11,0.8497642910452066,4,6,7,11,0.8072978209958067,2,6,12,13,0.9089609662510356,6,7,10,19,0.8409733801353956,5,10,19,27,0.984608673249087,5,6,10,14,-0.16706254313642388
222,222,222,222,222,1,10,11,13,0.760743869109529,1,12,14,15,-0.3334948743902308,13,19,21,30,0.7859565906335118,6,10,11,19,0.9497823010465108,2,5,13,30,0.8976696709551508,31,11,12,30,0.9630463460213384,2,12,13,14,0.9452164098692546,6,11,1,13,0.7646481008293123,6,12,14,19,0.9347777595129514,6,12,19,25,0.7327405808164766,5,6,10,14,-0.1679694520774928
223,223,223,223,223,4,6,10,20,0.8000734780341783,4,11,12,17,0.6196511074898099,3,5,7,12,0.2238465309560766,11,14,15,27,0.5148222606721296,5,10,11,13,0.9717927751384208,4,5,6,10,0.9622161407881776,2,5,6,10,0.9584881969403856,2,4,10,11,0.9379914577550484,5,6,10,22,0.9443735526360656,2,6,11,12,0.9685018587687022,5,6,10,14,-0.16970939213520309
224,224,224,224,224,2,6,8,17,-0.1513300476303221,4,6,13,19,0.9768462286217934,4,5,10,13,0.9800303957465696,2,4,5,6,0.9266407104509112,6,10,12,19,0.8604357741141672,2,5,6,10,0.9625042940703704,6,14,20,21,0.8092296919637025,5,6,10,12,0.9408864889749132,4,5,6,7,0.8028970777098573,5,6,10,12,0.9408864889749132,5,6,10,14,-0.18499049743730556
225,225,225,225,225,1,3,4,5,-0.2645370852724849,9,18,31,30,0.0392841188443426,4,9,13,27,0.7510888371635182,2,4,6,21,0.9791532767705088,2,5,10,19,0.9749902106870416,10,12,22,27,0.9771912668163404,5,12,13,14,0.9459112154861276,2,4,10,14,0.9077209388662136,2,4,5,6,0.927255694320906,5,6,10,20,0.8465340704256094,5,6,10,14,-0.1628534144294258
226,226,226,226,226,1,3,10,18,-1.7118752393736658,11,15,19,27,0.6526428002402054,2,7,31,9,0.3233378776140001,2,4,6,7,0.8076117994328773,2,11,21,22,0.9747757400788192,10,13,22,26,0.8338043721488988,6,25,27,2,0.9926902485701268,2,10,21,22,0.9516944613774516,5,11,12,21,0.950044821236981,2,11,14,19,0.9558400827262248,5,6,10,14,-0.16468282737410034
227,227,227,227,227,3,6,13,27,0.7304772903486502,4,6,14,16,0.6228989846578838,2,4,5,10,0.9391352977739308,11,13,14,10,0.9704905311072104,12,13,14,15,0.6260004251176375,5,6,14,21,0.9680077450714047,2,4,19,22,0.9834983023776528,2,10,11,14,0.9380211897399208,2,12,13,14,0.9453380738056484,10,12,14,15,0.6831228455770981,5,6,10,14,-0.16216775110344317
228,228,228,228,228,1,3,8,10,-1.64252218391926,5,6,9,26,0.870327219257961,5,11,14,26,0.962548744122233,4,5,6,22,0.9631873924723706,5,7,10,19,0.8498593616477673,5,10,11,12,0.9669614652236058,5,6,10,12,0.940114092109378,2,5,7,11,0.799010560852983,4,5,10,11,0.938609244781281,5,6,11,21,0.9750071759850992,5,6,10,14,-0.183363503187161
229,229,229,229,229,1,6,21,24,-0.2398559176384267,1,10,11,16,-0.1419139065052093,3,5,12,14,0.6890856267887446,2,6,7,27,0.7960263960529427,5,6,25,31,0.9910657627157524,6,11,13,26,0.9203041845683526,2,4,5,6,0.9263786712152056,5,13,21,29,0.7242296413938463,4,5,10,11,0.9378866045840372,6,11,12,19,0.9229463757175832,5,6,10,14,-0.18050688983731145
