,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r
32,4,5,0.7477992326162962,10,8,0.5932987768328273,4,10,0.6152670517060184,7,2,0.36100122994786066,6,9,0.32298465447294344,6,10,0.5613363390146113,4,6,0.557880226725445
33,13,10,0.23947324763630662,1,5,0.2433595884664238,12,7,0.3629178828288693,1,5,0.5935540874898048,10,4,0.6252418606121504,2,1,-0.23480002668631683,11,7,0.68125655999023
34,5,12,0.6443431652893692,1,2,0.30319834217328134,2,5,0.657706438415827,13,1,0.07837838103923933,11,2,0.6542234112567271,9,10,0.3526435034370685,8,10,0.4291529175450225
35,13,8,0.6373955107985023,4,11,0.6509792795108387,1,6,0.06592176621674439,2,6,-0.38493683902072706,1,5,0.38738818316420376,8,10,0.533229190329559,4,11,0.7020247764180498
36,4,9,0.748785796418684,2,11,0.4515326465964764,4,12,0.8111001236479329,5,7,0.6422418675613436,7,11,0.4866161702460806,5,11,0.707849574110895,10,11,0.5111593877758309
37,4,9,0.6953023886541654,10,11,0.5765083942611235,5,9,0.7234382224625109,5,6,0.3096360365685883,4,6,0.5741793685981744,5,10,0.700177927307778,11,10,0.5175747551150564
38,1,7,0.3819765550202818,8,10,0.5649626232188532,6,7,0.21650397771672725,13,4,0.49344745020431513,3,4,0.22284593291771648,1,2,-0.2010557669157862,2,5,0.7044815344709209
39,2,13,0.335723920767947,7,11,0.8715348493815037,7,10,0.4819521532455887,7,13,0.6249744067159655,6,8,0.6002678607471595,6,10,0.4001888567703008,12,8,0.9066725164430959
40,3,11,0.6382711528778735,4,3,0.7182576094855524,1,9,0.29268461033846194,8,13,0.7324577297532835,5,12,0.8108598641125666,5,6,0.5041789802055601,6,10,0.35396343747313175
41,13,1,0.523981699076377,5,8,0.8055128672020555,5,12,0.8847329770643991,4,10,0.72788213712374,1,8,0.6182138128285433,6,10,0.16062618152269514,4,6,0.7942922143195181
42,2,5,0.768901984320631,3,4,0.7261627337804046,6,7,0.6707328065025848,13,3,0.34775161331379123,3,5,0.6917028264718932,4,10,0.9013396721924705,4,5,0.8720463578831816
43,1,5,0.7571761730634345,1,5,0.4698943158272887,8,13,0.8345127177189643,6,8,0.6101219205281571,6,7,0.34888600451915,4,12,0.7516083934829758,6,8,0.7538867367309214
44,5,8,0.6304980869254444,8,13,0.7940402218482134,6,8,0.6355305472194296,5,10,0.49993813793530784,3,4,0.6033422749872133,10,7,0.6461977787757096,4,6,0.7060092429790877
45,10,1,0.5792928082057671,2,10,0.648923205024526,2,6,0.3198949872929172,8,9,0.6862812689184313,8,10,0.7669715677549358,4,6,0.70567140376082,7,9,0.8270169963750265
46,6,2,0.41240526204169436,3,1,0.5488892884968785,10,12,0.2757951178509255,8,13,0.84634522988825,6,12,0.6892935944887408,6,8,0.8152696274643881,5,6,0.7862477809762326
47,1,6,0.5502864303499314,6,11,0.7934290462272346,4,8,0.9006578043007074,8,10,0.8106118731056791,5,11,0.7991145015009099,6,8,0.5195432098771182,6,5,0.8028243353467117
48,5,13,0.7874545443146121,1,5,0.8401367070672217,5,12,0.7731646039487865,6,11,0.7929547021462259,6,11,0.757044946951837,1,5,0.6822794265280713,4,6,0.7870676653277657
49,3,4,0.7564245650750563,13,6,0.579552868966993,8,10,0.3600852751283624,7,10,0.5641865010910688,10,1,0.5839597881168213,11,9,0.9194247092856521,6,7,0.545116906347054
50,7,8,0.8916909851136668,6,9,0.6732120953526635,1,9,0.5946291843447746,6,1,0.12474004555771767,1,8,0.8720170369066433,4,9,0.8610468822106312,4,12,0.9351443360762762
51,1,6,0.5080563989309517,3,5,0.7127538681115949,4,6,0.7958636872918353,2,5,0.6945363340296316,10,11,0.7893727266656618,10,4,0.801032025831014,7,5,0.9105424788420242
52,3,5,0.7245338989773042,7,11,0.7162416135727392,10,7,0.49038197734152933,5,8,0.919937828515236,6,9,0.7632923290960699,4,11,0.8048786390694497,9,1,0.5474062905280159
53,4,5,0.8956289514216929,1,5,0.7628057850826786,4,10,0.7866302985726601,6,7,0.4926532907448188,4,6,0.8492535029405205,9,10,0.8620175241628529,4,11,0.8832094534879463
54,6,5,0.33680848194631796,1,8,0.8675782602505584,1,6,0.5156228751941532,1,4,0.762574795872919,2,10,0.6318583729232132,4,10,0.808951552190618,10,12,0.7721736833708863
55,4,13,0.7905050406505003,13,10,0.5706988649012151,1,10,0.4265907224985862,5,7,0.9150046754267738,6,7,0.6668334967773947,6,10,0.5950790170707408,6,8,0.6450456735623757
56,2,9,0.8093435905151709,1,2,0.3229416077524203,5,11,0.8227670869432592,7,12,0.8522513873419713,11,6,0.6880481372417999,5,6,0.7866141030024285,2,12,0.5572949870858934
57,2,6,0.01564736489347307,12,9,0.793459143561474,4,5,0.7037623688395993,6,13,0.4776408588161849,12,10,0.6695273559799342,6,10,0.3158793964781429,4,6,0.4548200082398195
58,1,4,0.6566661563596308,4,6,0.6731117937972226,5,8,0.8914393993950777,4,6,0.7452936109466126,6,11,0.6584776047270549,4,10,0.7055299310085195,4,10,0.755490288934836
59,1,12,0.3679541352503868,1,13,0.4019876463874421,2,8,0.7907490480646836,6,9,0.6643070763946957,10,1,0.010527873254011277,9,12,0.7398247234896551,6,8,0.7274884766337306
60,4,6,0.6976660356440219,11,13,0.7983542100648537,2,5,0.7622826297836807,8,9,0.8408302703838517,5,7,0.8383729201236076,2,8,0.6909018408018217,7,13,0.7365966330639222
