,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,top-a0,top-a1,top-r,h-a0,h-a1,h-r,i-a0,i-a1,i-r,j-a0,j-a1,j-r,k-a0,k-a1,k-r,l-a0,l-a1,l-r,m-a0,m-a1,m-r,n-a0,n-a1,n-r
174,174,174,174,174,1,11,0.5427969880653204,4,5,0.5595235462620823,9,5,0.6563651864241791,6,11,0.6433470842391413,2,9,0.7180145894133929,5,8,0.6297034981155604,2,9,0.8994456768298666,6,10,0.2981184457541441,1,10,0.753728312687892,1,3,0.7122553129620681,9,11,0.7590063930383047,2,3,0.7006866309909827,12,5,0.716656418899724,4,5,0.9489732993753158,6,8,0.7678776681909678
175,175,175,175,175,2,4,0.6512984726134354,1,5,0.594674347304085,6,1,0.5101821885626352,8,10,0.9387233711771128,3,6,0.5875623028052905,3,6,0.4953896656030745,12,1,0.6612989693185032,6,10,0.6304917831464396,8,1,0.48781628149207923,1,11,0.5044240491318032,6,13,0.3480713809719631,3,5,0.8454117870487556,8,9,0.8838961550897522,10,1,0.5960356394787569,2,12,0.675847742492494
176,176,176,176,176,7,13,0.7156090473853024,2,8,0.9267594000361323,5,11,0.5780480902678158,8,3,0.9409557039620828,4,5,0.6059970653112361,1,5,0.6023651974386895,3,7,0.9479172724402822,6,10,0.3483662014206953,5,8,0.8797990802023667,3,4,0.6989297119126013,5,10,0.7489087227166623,4,9,0.9124036316279506,11,12,0.8084906973413504,12,1,0.7959337385092259,4,13,0.8364571416661523
177,177,177,177,177,6,9,0.7036407683560171,10,2,0.9245416845944787,4,10,0.7117808332334663,12,5,0.824933421505694,4,8,0.8450907847906985,11,13,0.46170710139050897,3,10,0.7635396874355229,6,10,0.1284223923121203,12,1,0.8274110944340244,4,12,0.809039858447002,9,12,0.8032965805517266,11,5,0.9062219354120218,12,4,0.8941469513672629,1,5,0.4591499523790899,5,12,0.8507271706849249
178,178,178,178,178,8,12,0.842440702587423,2,4,0.7934975519137788,2,5,0.670151112413986,1,10,0.630817637502748,2,3,0.6617247973029483,1,3,0.6747597996239364,2,3,0.7445188935977902,6,10,0.4398216524268038,4,10,0.7200167625888292,1,3,0.6373728348283161,4,9,0.8696830623057589,7,11,0.8129831984107456,4,2,0.7559724202944219,7,8,0.9367398716734212,9,8,0.7118604513944948
179,179,179,179,179,5,2,0.6444698545191925,4,10,0.8379879862041997,9,13,0.6798654001395096,11,8,0.7971473846807413,2,13,0.4873034804658797,8,5,0.7925439435007046,2,9,0.7075270122575131,6,10,0.3261946930128905,5,7,0.8292196256622352,4,5,0.6348753609667138,1,12,0.5285268633725945,3,4,0.8234099186123303,2,3,0.4734799132111938,1,6,0.2979090457531538,1,2,0.2313959902766167
180,180,180,180,180,6,9,0.6889808510993668,5,8,0.8492901043154096,1,11,0.5629365821159131,4,5,0.7156860666705044,4,7,0.688107933630287,7,9,0.7181835727237523,4,7,0.6164534430805572,6,10,0.4773513245720977,3,13,0.5092476709172642,3,7,0.8522618509288993,10,9,0.8371012322900013,11,12,0.7944566798586717,6,8,0.67692672382696,4,8,0.8487881796785196,6,12,0.6574261390225087
181,181,181,181,181,1,7,0.6817178525411893,12,7,0.8988099767009654,10,13,0.6860555898131179,1,2,0.6872937787134896,1,8,0.8423007722519296,3,5,0.879990726640411,3,7,0.7874716859811948,6,10,0.2150521660042411,1,4,0.49591281185027425,12,5,0.7883357088529815,4,7,0.720586225585038,6,7,0.4385196901720228,3,4,0.8290768437065725,11,4,0.7855513101666994,5,8,0.8149663979574231
182,182,182,182,182,1,4,0.2413224748417886,8,9,0.895375018938037,1,4,0.5592910319015784,3,6,0.47801929644064745,3,5,0.643714167606607,13,7,0.4945240668827564,7,9,0.8287879835637041,6,10,0.4499206871366284,8,12,0.9237900987453421,7,12,0.8163878464385423,3,11,0.6734297860598497,11,13,0.8625148936831363,8,1,0.7481506343381592,7,9,0.679374700835551,8,9,0.7268080545711969
183,183,183,183,183,8,13,0.6279276004143179,2,5,0.6678500535398271,2,4,0.6661082006813346,5,6,0.5079656361784403,5,13,0.22585947618353952,8,2,0.7245654392736979,2,9,0.9268135537583155,6,10,0.4685281964542515,1,12,0.7603491909818509,4,5,0.6979339043256148,10,11,0.8302364992436265,3,8,0.8653055355082075,4,8,0.748977393593832,1,5,0.4375850143987867,2,9,0.8557844418992306
184,184,184,184,184,9,4,0.6429921899358046,4,7,0.867946789633373,4,12,0.7668994912494255,6,5,0.6801152545448652,2,4,0.6387584777218438,2,7,0.8660999386677488,3,9,0.8316481119474484,6,10,0.5154624191022684,10,2,0.7475802171685119,4,5,0.6137411905307223,2,4,0.8274799582806196,2,5,0.6014590028007976,5,2,0.6239327121492677,7,10,0.6227310539222923,4,11,0.8801745400387149
185,185,185,185,185,1,4,0.4886483602416618,2,3,0.7777036840944236,1,6,0.522097647485719,13,5,0.4930510145314023,4,11,0.6373370946882975,3,7,0.5153807689335911,3,12,0.8016821460910138,6,10,0.5523038637936156,2,6,0.2999067083580891,6,10,0.573954876778946,4,9,0.6829493805686431,2,6,0.2990069147421582,3,10,0.5995216570511817,2,6,0.099844928170538,6,10,0.401707938283889
186,186,186,186,186,11,13,0.5771974757115016,4,5,0.413466473730592,6,8,0.49178767577709004,5,1,0.3002585293802309,6,12,0.8498828720413084,5,10,0.7859201630397297,8,5,0.7770137757651514,6,10,0.6471478820383673,3,4,0.5322649271842307,12,2,0.8721785802671094,6,8,0.8599489198557538,7,12,0.8039587981839201,6,11,0.7015495493078245,12,11,0.8122616132428571,5,6,0.5851428891511807
187,187,187,187,187,3,13,0.6221340510102018,11,5,0.69658296451568,4,11,0.6036792549424197,4,6,0.38891665906653505,8,12,0.7881804615963613,2,11,0.7428202052143595,4,10,0.8156733296562294,6,10,0.1370722974108076,5,13,0.39149214608206395,9,11,0.7098799266452356,5,7,0.7175942955399071,1,4,0.6797764310442813,3,10,0.5604025992760091,5,9,0.770432983773651,5,13,0.7441963906545346
188,188,188,188,188,12,6,0.4741061657315023,4,5,0.5911383758132783,11,4,0.6273584299838978,5,12,0.8422920832000225,4,13,0.6046448258605063,2,13,0.7608697531422486,9,7,0.7632768392388531,6,10,0.4820331828129159,6,2,0.633224357851391,3,4,0.7311460004923209,11,8,0.7998188124082108,1,8,0.7732326594881701,7,12,0.8130037916362225,13,5,0.7606168907746284,1,9,0.7579816594796178
189,189,189,189,189,11,4,0.6362033046909757,1,3,0.5204062871826528,5,7,0.7904816550445447,3,4,0.6344710124760631,1,4,0.4234300627793546,3,10,0.8607607673285347,4,7,0.7544380899509454,6,10,0.6792082853899342,1,3,0.4729320763160684,1,4,0.6576037283253083,1,2,0.5898944109352359,5,9,0.8048010199610035,1,8,0.6088596449412651,3,6,0.6598296693682476,1,8,0.639890299113174
190,190,190,190,190,7,8,0.8291919299267217,1,3,0.6145991740109202,3,4,0.7608475267507973,5,9,0.7843116504511165,2,11,0.6281626766711451,3,6,0.7876331467486204,7,10,0.8473918365619888,6,10,0.3491758053578843,3,4,0.8078586308845357,2,7,0.8790540297170522,11,7,0.7488611743568825,8,6,0.5007164679515927,11,13,0.7372742365360918,4,8,0.7968136564672421,7,10,0.6878658038260372
191,191,191,191,191,12,1,0.7875539936199519,4,6,0.3343451541650223,5,9,0.8000181090557711,12,5,0.7490314928604005,4,5,0.4957959945707504,4,5,0.6337387256255578,12,13,0.6534488642557736,6,10,0.7284440979971254,5,8,0.756957057615282,7,10,0.9037220219138171,8,12,0.903861830679573,8,11,0.8200921329097854,3,4,0.7404039024662923,6,1,0.4428798266357751,4,7,0.849930930983158
192,192,192,192,192,8,9,0.8028167439718188,9,13,0.7842848740561297,4,7,0.6816688537683094,8,5,0.612082210850037,1,4,0.6980862563127698,12,7,0.9067438048906993,11,13,0.7491638545293147,6,10,0.3992188139663667,8,11,0.8320260809196329,2,10,0.8615985043918988,12,13,0.6362148579930843,1,8,0.6219499666268091,1,9,0.7019651739277035,5,7,0.9027895412100916,6,7,0.6876600568243529
193,193,193,193,193,4,3,0.7928381501405232,3,9,0.8779955855291941,5,8,0.6123754752275546,5,11,0.3532657690133054,6,12,0.8165031021085773,2,13,0.4527242832854794,3,4,0.8648366942825431,6,10,0.5868710199154263,2,4,0.5868322616414365,2,8,0.8221994986894368,6,13,0.3825920186975804,7,11,0.8387261065726656,5,8,0.831435606464177,9,10,0.8362715470550548,9,13,0.8445392873608093
194,194,194,194,194,2,10,0.7593737872690476,8,11,0.6868094112713395,1,2,0.8811135547550293,8,13,0.8358430661190602,3,4,0.8208866621851043,3,6,0.7668705719114723,4,5,0.47064561178389797,6,10,0.4124101501068844,9,7,0.8282383553041457,10,11,0.5285659119294526,8,11,0.5741764466551742,7,8,0.9176361018202368,9,12,0.7771406928723035,4,6,0.7035587084884278,2,12,0.6911079970770797
